time_step,channel,rssi,snr,interference,load,throughput
58,3,-67.25,9.27,0.181,0.681,12.76
58,4,-51.0,8.74,0.567,0.257,14.54
58,5,-37.04,21.92,0.806,0.55,37.77
59,1,-37.67,26.06,0.819,0.884,35.31
59,2,-77.46,12.42,0.611,0.411,3.78
59,3,-47.07,14.62,0.823,0.424,18.35
59,4,-53.28,8.34,0.624,0.452,6.47
59,5,-49.47,35.2,0.217,0.096,87.69
60,1,-88.7,27.47,0.607,0.547,27.04
60,2,-57.3,22.39,0.988,0.136,28.97
60,3,-51.77,19.15,0.428,0.718,33.34
60,4,-74.92,7.78,0.086,0.894,8.06
60,5,-79.45,16.32,0.227,0.355,27.34
61,1,-86.28,33.01,0.234,0.54,50.06
61,2,-41.6,27.78,0.533,0.324,64.35
61,3,-35.32,28.16,0.558,0.731,50.04
61,4,-64.41,7.1,0.562,0.958,1.0
61,5,-78.95,23.75,0.097,0.45,41.11
62,1,-48.41,17.17,0.665,0.795,17.01
62,2,-35.41,37.45,0.54,0.842,68.98
62,3,-61.35,26.83,0.089,0.755,51.82
62,4,-46.99,29.81,0.036,0.303,77.0
62,5,-75.53,17.6,0.088,0.937,15.88
63,1,-68.17,20.65,0.601,0.516,27.84
63,2,-39.43,22.39,0.992,0.851,24.27
63,3,-69.07,35.73,0.868,0.806,40.44
63,4,-46.55,15.66,0.081,0.403,47.16
63,5,-70.96,39.15,0.641,0.822,50.32
64,1,-82.71,35.17,0.923,0.487,43.3
64,2,-80.38,22.59,0.399,0.146,41.04
64,3,-69.79,7.39,0.026,0.135,25.9
64,4,-36.88,20.14,0.312,0.506,51.42
64,5,-65.83,8.7,0.641,0.216,14.45
65,1,-81.64,7.15,0.781,0.46,1.0
65,2,-86.8,39.82,0.058,0.695,65.29
65,3,-51.93,7.18,0.509,0.997,1.0
65,4,-45.23,26.53,0.306,0.624,48.0
65,5,-82.81,36.03,0.45,0.195,65.1
66,1,-69.77,19.49,0.828,0.734,9.21
66,2,-88.94,14.09,0.76,0.137,1.0
66,3,-60.56,12.53,0.012,0.241,38.35
66,4,-83.96,24.18,0.454,0.844,23.37
66,5,-84.61,22.09,0.15,0.325,38.74
67,1,-69.33,18.81,0.459,0.785,24.68
67,2,-40.94,38.44,0.787,0.315,73.1
67,3,-75.99,34.43,0.038,0.902,62.65
67,4,-64.62,27.3,0.659,0.895,34.04
67,5,-86.33,23.14,0.15,0.737,34.87
68,1,-61.83,28.81,0.042,0.085,72.24
68,2,-86.08,5.42,0.957,0.738,1.0
68,3,-70.57,15.38,0.35,0.775,12.47
68,4,-80.42,8.44,0.66,0.764,1.0
68,5,-75.42,5.73,0.082,0.968,1.0
69,1,-55.64,18.37,0.206,0.121,47.44
69,2,-56.17,32.11,0.644,0.53,51.63
69,3,-36.1,26.07,0.582,0.748,50.69
69,4,-45.35,27.98,0.128,0.338,67.84
69,5,-65.83,26.45,0.943,0.241,29.78
70,1,-83.32,11.91,0.887,0.646,1.0
70,2,-42.62,34.63,0.919,0.252,62.32
70,3,-48.47,21.12,0.842,0.728,26.52
70,4,-80.24,24.08,0.985,0.937,8.58
70,5,-87.63,10.77,0.132,0.726,4.04
71,1,-62.18,34.42,0.733,0.542,53.98
71,2,-57.53,22.79,0.298,0.565,46.03
71,3,-55.0,31.64,0.16,0.462,70.58
71,4,-89.49,13.63,0.726,0.992,1.0
71,5,-46.0,12.14,0.555,0.733,13.75
72,1,-56.12,11.58,0.355,0.784,14.44
72,2,-48.15,6.24,0.746,0.202,11.01
72,3,-37.31,17.88,0.327,0.149,55.74
72,4,-35.2,17.89,0.449,0.722,35.55
72,5,-41.26,25.76,0.392,0.413,54.25
73,1,-46.32,8.25,0.588,0.481,17.47
73,2,-54.67,7.27,0.58,0.561,11.95
73,3,-52.79,33.17,0.27,0.825,64.86
73,4,-62.6,7.7,0.059,0.334,26.07
73,5,-46.63,23.1,0.44,0.147,58.87
74,1,-71.95,20.19,0.089,0.221,50.77
74,2,-35.09,37.66,0.643,0.421,79.86
74,3,-55.01,32.5,0.118,0.41,72.58
74,4,-58.55,25.57,0.184,0.362,60.55
74,5,-71.6,5.92,0.024,0.832,4.94
75,1,-73.57,37.92,0.259,0.43,65.24
75,2,-42.0,34.47,0.186,0.803,68.78
75,3,-82.66,7.82,0.728,0.496,1.0
75,4,-65.97,30.53,0.766,0.159,48.15
75,5,-48.67,27.99,0.957,0.069,52.13
76,1,-86.86,14.88,0.262,0.247,21.62
76,2,-75.04,31.58,0.45,0.777,43.83
76,3,-86.4,22.06,0.034,0.063,41.08
76,4,-70.9,36.49,0.022,0.664,72.94
76,5,-37.01,24.61,0.937,0.052,46.61
77,1,-49.8,39.35,0.257,0.654,78.15
77,2,-79.1,24.79,0.464,0.972,16.96
77,3,-83.72,10.29,0.225,0.251,19.19
77,4,-43.22,24.64,0.523,0.115,60.39
77,5,-86.28,29.77,0.544,0.082,50.14
78,1,-64.79,21.96,0.166,0.946,34.23
78,2,-64.57,19.41,0.651,0.545,26.08
78,3,-86.57,22.94,0.806,0.459,14.98
78,4,-80.94,16.56,0.757,0.519,4.56
78,5,-78.73,35.72,0.88,0.871,33.05
79,1,-35.83,32.02,0.027,0.065,88.99
79,2,-64.48,36.82,0.539,0.498,63.69
79,3,-44.78,18.31,0.776,0.964,14.6
79,4,-78.79,23.32,0.287,0.793,34.42
79,5,-46.11,18.86,0.915,0.533,27.12
80,1,-81.31,29.36,0.793,0.317,35.34
80,2,-79.87,36.29,0.654,0.152,58.0
80,3,-65.78,26.54,0.083,0.882,45.69
80,4,-36.81,19.62,0.984,0.668,28.85
80,5,-55.09,10.81,0.882,0.427,10.49
81,1,-50.44,36.16,0.079,0.731,84.2
81,2,-79.69,35.04,0.819,0.541,39.11
81,3,-64.09,33.76,0.459,0.358,66.17
81,4,-62.82,33.99,0.335,0.174,74.69
81,5,-84.46,13.4,0.142,0.348,23.24
82,1,-65.23,31.21,0.651,0.621,47.74
82,2,-64.08,39.27,0.634,0.126,73.02
82,3,-52.81,16.38,0.686,0.07,34.87
82,4,-77.51,34.3,0.279,0.643,54.61
82,5,-51.82,22.94,0.305,0.213,57.04
83,1,-42.08,31.81,0.788,0.665,52.84
83,2,-75.68,36.75,0.671,0.56,51.13
83,3,-64.68,35.26,0.547,0.38,59.35
83,4,-36.28,8.88,0.423,0.042,36.88
83,5,-74.6,35.04,0.292,0.911,51.82
84,1,-48.53,33.17,0.018,0.963,64.66
84,2,-44.38,14.85,0.873,0.113,31.78
84,3,-51.3,23.92,0.097,0.242,63.2
84,4,-73.43,25.94,0.297,0.3,47.85
84,5,-49.12,6.68,0.903,0.852,1.0
85,1,-40.92,11.49,0.079,0.24,49.29
85,2,-46.3,6.21,0.583,0.995,1.0
85,3,-86.5,34.1,0.599,0.115,57.59
85,4,-84.84,36.84,0.669,0.829,41.02
85,5,-61.54,20.06,0.317,0.435,41.99
86,1,-47.44,26.07,0.893,0.443,45.39
86,2,-57.46,29.59,0.237,0.512,64.47
86,3,-84.27,18.46,0.488,0.652,14.22
86,4,-49.1,22.72,0.634,0.071,51.75
86,5,-76.01,17.66,0.472,0.046,30.72
87,1,-36.57,16.6,0.482,0.196,43.47
87,2,-56.41,14.82,0.207,0.517,31.39
87,3,-45.86,25.02,0.513,0.293,52.14
87,4,-38.75,18.9,0.087,0.617,49.42
87,5,-62.09,35.6,0.494,0.702,55.4
88,1,-35.4,9.6,0.275,0.395,27.99
88,2,-40.08,29.99,0.608,0.309,59.22
88,3,-44.69,38.43,0.821,0.002,78.38
88,4,-75.83,7.08,0.604,0.687,1.0
88,5,-83.7,18.43,0.456,0.369,21.47
89,1,-48.69,7.49,0.08,0.355,26.39
89,2,-38.21,28.4,0.679,0.362,57.99
89,3,-55.01,36.97,0.613,0.874,56.26
89,4,-50.18,9.22,0.902,0.066,11.18
89,5,-89.36,19.77,0.295,0.486,24.19
90,1,-58.25,6.53,0.123,0.559,20.08
90,2,-54.12,34.6,0.692,0.43,58.01
90,3,-52.99,14.64,0.306,0.789,28.05
90,4,-44.77,35.01,0.917,0.431,58.62
90,5,-72.46,25.38,0.371,0.601,41.46
91,1,-69.4,10.84,0.431,0.143,23.88
91,2,-41.04,17.11,0.154,0.025,62.35
91,3,-71.27,7.51,0.41,0.311,13.5
91,4,-52.76,26.2,0.365,0.218,59.56
91,5,-52.14,9.92,0.486,0.028,29.35
92,1,-62.2,38.74,0.384,0.039,83.62
92,2,-81.2,5.82,0.756,0.459,1.0
92,3,-74.09,36.5,0.116,0.956,60.67
92,4,-56.84,33.93,0.984,0.288,51.72
92,5,-37.14,18.63,0.386,0.34,45.04
93,1,-59.55,23.96,0.762,0.834,24.88
93,2,-65.78,15.58,0.259,0.195,35.13
93,3,-75.14,38.82,0.558,0.347,63.25
93,4,-58.07,9.87,0.444,0.626,4.14
93,5,-35.34,35.81,0.623,0.569,70.16
94,1,-55.86,12.05,0.395,0.039,41.25
94,2,-77.47,38.74,0.909,0.722,38.9
94,3,-60.66,35.45,0.131,0.791,67.69
94,4,-74.83,35.7,0.944,0.149,50.91
94,5,-64.55,39.33,0.483,0.864,54.98
95,1,-74.28,12.11,0.762,0.387,8.35
95,2,-61.88,22.23,0.577,0.866,24.4
95,3,-44.49,31.76,0.574,0.956,51.02
95,4,-78.97,8.82,0.854,0.439,1.0
95,5,-55.54,37.42,0.019,0.477,75.76
96,1,-52.18,30.29,0.693,0.134,57.45
96,2,-45.76,14.76,0.211,0.957,22.24
96,3,-89.51,39.92,0.677,0.828,46.25
96,4,-49.27,10.0,0.753,0.769,5.09
96,5,-53.78,31.81,0.846,0.614,45.94
97,1,-85.73,19.26,0.407,0.066,29.15
97,2,-70.81,8.88,0.808,0.948,1.0
97,3,-85.77,22.52,0.795,0.707,11.28
97,4,-87.24,7.55,0.403,0.295,1.0
97,5,-45.81,37.52,0.405,0.906,64.52
98,1,-72.32,21.68,0.226,0.64,34.58
98,2,-70.32,27.67,0.123,0.889,45.12
98,3,-62.33,20.73,0.586,0.625,27.72
98,4,-76.69,29.99,0.823,0.804,25.38
98,5,-59.61,23.21,0.143,0.775,42.86
99,1,-74.36,9.68,0.63,0.054,6.63
99,2,-48.82,16.12,0.0,0.511,44.05
99,3,-43.84,5.13,0.247,0.741,12.89
99,4,-72.61,8.57,0.36,0.27,11.83
99,5,-46.61,36.22,0.434,0.91,65.99
100,1,-69.25,38.74,0.089,0.687,65.69
100,2,-55.2,29.63,0.004,0.167,76.96
100,3,-50.78,28.32,0.966,0.761,33.51
100,4,-73.61,8.69,0.782,0.644,1.0
100,5,-87.35,17.6,0.957,0.5,1.0
101,1,-78.51,17.9,0.37,0.052,27.26
101,2,-47.78,19.58,0.822,0.85,21.21
101,3,-64.02,35.81,0.216,0.678,62.76
101,4,-56.57,15.34,0.137,0.652,29.39
101,5,-54.53,18.83,0.713,0.199,37.39
102,1,-41.04,15.06,0.368,0.058,47.24
102,2,-75.28,34.24,0.015,0.379,67.92
102,3,-71.45,5.68,0.124,0.414,3.87
102,4,-60.8,25.83,0.01,0.464,58.79
102,5,-37.01,23.17,0.678,0.312,51.85
103,1,-61.33,39.16,0.126,0.017,95.62
103,2,-47.64,33.25,0.12,0.266,82.74
103,3,-70.85,18.01,0.001,0.3,47.71
103,4,-54.44,39.1,0.847,0.024,75.49
103,5,-47.08,21.03,0.398,0.303,49.74
104,1,-86.39,12.99,0.247,0.484,12.76
104,2,-86.82,38.52,0.943,0.785,40.71
104,3,-35.48,24.06,0.963,0.076,45.82
104,4,-79.23,9.93,0.622,0.781,1.0
104,5,-58.19,10.14,0.811,0.636,5.7
105,1,-75.71,17.08,0.917,0.291,8.48
105,2,-64.15,36.15,0.708,0.062,64.94
105,3,-82.61,38.53,0.53,0.242,70.08
105,4,-62.47,28.79,0.076,0.275,66.64
105,5,-59.94,20.15,0.044,0.166,58.99
106,1,-65.5,12.32,0.05,0.844,18.02
106,2,-37.17,11.89,0.951,0.995,3.55
106,3,-50.86,39.34,0.57,0.26,85.75
106,4,-85.98,26.78,0.981,0.19,22.3
106,5,-46.41,36.78,0.944,0.96,49.31
107,1,-48.35,10.66,0.477,0.718,14.94
107,2,-76.4,27.42,0.667,0.163,47.03
107,3,-62.56,5.42,0.009,0.357,21.44
107,4,-39.06,13.0,0.634,0.222,34.54
107,5,-49.91,8.34,0.429,0.029,26.78
108,1,-63.55,28.19,0.119,0.289,66.05
108,2,-35.37,6.57,0.761,0.372,12.79
108,3,-68.41,31.4,0.918,0.951,21.67
108,4,-46.68,13.79,0.564,0.359,31.36
108,5,-53.89,13.41,0.192,0.918,21.22
109,1,-77.85,6.36,0.036,0.175,15.48
109,2,-42.33,14.89,0.95,0.582,21.48
109,3,-61.58,31.56,0.282,0.353,60.33
109,4,-40.82,38.13,0.893,0.419,68.19
109,5,-62.64,12.16,0.591,0.186,25.16
110,1,-71.76,34.93,0.207,0.071,68.17
110,2,-45.4,34.25,0.332,0.694,69.1
110,3,-47.59,27.91,0.152,0.876,50.25
110,4,-66.61,6.31,0.128,0.766,7.31
110,5,-90.0,19.58,0.523,0.055,23.86
111,1,-77.33,5.05,0.729,0.967,1.0
111,2,-77.66,28.21,0.742,0.848,18.94
111,3,-72.11,29.94,0.817,0.182,42.75
